box,day,phase,mouse,normDS,rank,time_point,exp,sex,age,mouse_ID,background,treatment,condition
3,2,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,2,active,red,0.75,Beta,baseline,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,2,active,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,2,active,green,0.75,Delta,baseline,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,2,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,2,inactive,red,0.75,Beta,baseline,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,2,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,2,inactive,green,0.75,Delta,baseline,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,3,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,3,active,red,1.5,Beta,baseline,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,3,active,green,0.75,Gamma,baseline,male_P35,male,P35,1072415,ELA,saline,ELA_saline
3,3,active,yellow,0.0,Delta,baseline,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,3,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072479,CTRL,saline,CTRL_saline
3,3,inactive,red,0.75,Beta,baseline,male_P35,male,P35,1072441,CTRL,saline,CTRL_saline
3,3,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072239,ELA,saline,ELA_saline
3,3,inactive,green,0.75,Delta,baseline,male_P35,male,P35,1072415,ELA,saline,ELA_saline
4,1,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,1,active,yellow,1.875,Beta,baseline,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
4,1,active,red,1.125,Gamma,baseline,male_P35,male,P35,1072419,ELA,saline,ELA_saline
4,1,active,green,0.0,Delta,baseline,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,1,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,1,inactive,green,1.421052631578947,Beta,baseline,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,1,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
4,1,inactive,red,0.0789473684210522,Delta,baseline,male_P35,male,P35,1072419,ELA,saline,ELA_saline
4,2,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,2,active,yellow,2.25,Beta,baseline,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
4,2,active,green,0.75,Gamma,baseline,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,2,active,red,0.0,Delta,baseline,male_P35,male,P35,1072419,ELA,saline,ELA_saline
4,2,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,2,inactive,green,1.5,Beta,baseline,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,2,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
4,2,inactive,red,0.0,Delta,baseline,male_P35,male,P35,1072419,ELA,saline,ELA_saline
4,3,active,blue,3.0,Alpha,baseline,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,3,active,yellow,2.25,Beta,baseline,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
4,3,active,red,0.6,Gamma,baseline,male_P35,male,P35,1072419,ELA,saline,ELA_saline
4,3,active,green,0.0,Delta,baseline,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,3,inactive,blue,3.0,Alpha,baseline,male_P35,male,P35,1072480,CTRL,saline,CTRL_saline
4,3,inactive,green,1.5,Beta,baseline,male_P35,male,P35,1072255,ELA,saline,ELA_saline
4,3,inactive,yellow,0.75,Gamma,baseline,male_P35,male,P35,1072469,CTRL,saline,CTRL_saline
4,3,inactive,red,0.0,Delta,baseline,male_P35,male,P35,1072419,ELA,saline,ELA_saline
5,1,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073117,CTRL,saline,CTRL_saline
5,1,active,blue,2.2916666666666665,Beta,baseline,male_P35,male,P35,1073127,CTRL,saline,CTRL_saline
5,1,active,yellow,0.2499999999999995,Gamma,baseline,male_P35,male,P35,1073101,ELA,saline,ELA_saline
5,1,active,green,0.0,Delta,baseline,male_P35,male,P35,1073091,ELA,saline,ELA_saline
5,2,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073117,CTRL,saline,CTRL_saline
5,2,active,blue,2.08974358974359,Beta,baseline,male_P35,male,P35,1073127,CTRL,saline,CTRL_saline
5,2,active,green,0.75,Gamma,baseline,male_P35,male,P35,1073091,ELA,saline,ELA_saline
5,2,active,yellow,0.0,Delta,baseline,male_P35,male,P35,1073101,ELA,saline,ELA_saline
5,2,inactive,red,1.75,Alpha,baseline,male_P35,male,P35,1073117,CTRL,saline,CTRL_saline
5,2,inactive,blue,1.5,Beta,baseline,male_P35,male,P35,1073127,CTRL,saline,CTRL_saline
5,2,inactive,yellow,1.5,Gamma,baseline,male_P35,male,P35,1073101,ELA,saline,ELA_saline
5,2,inactive,green,1.5,Delta,baseline,male_P35,male,P35,1073091,ELA,saline,ELA_saline
5,3,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073117,CTRL,saline,CTRL_saline
5,3,active,blue,2.1083333333333334,Beta,baseline,male_P35,male,P35,1073127,CTRL,saline,CTRL_saline
5,3,active,yellow,1.125,Gamma,baseline,male_P35,male,P35,1073101,ELA,saline,ELA_saline
5,3,active,green,0.0,Delta,baseline,male_P35,male,P35,1073091,ELA,saline,ELA_saline
5,3,inactive,blue,2.25,Alpha,baseline,male_P35,male,P35,1073127,CTRL,saline,CTRL_saline
5,3,inactive,red,1.5,Beta,baseline,male_P35,male,P35,1073117,CTRL,saline,CTRL_saline
5,3,inactive,yellow,1.5,Gamma,baseline,male_P35,male,P35,1073101,ELA,saline,ELA_saline
5,3,inactive,green,1.5,Delta,baseline,male_P35,male,P35,1073091,ELA,saline,ELA_saline
6,1,active,yellow,3.0,Alpha,baseline,male_P35,male,P35,1073137,CTRL,saline,CTRL_saline
6,1,active,red,2.351731601731602,Beta,baseline,male_P35,male,P35,1073128,CTRL,saline,CTRL_saline
6,1,active,blue,0.2863636363636366,Gamma,baseline,male_P35,male,P35,1073092,ELA,saline,ELA_saline
6,1,active,green,0.1833333333333331,Delta,baseline,male_P35,male,P35,1073102,ELA,saline,ELA_saline
6,2,active,yellow,3.0,Alpha,baseline,male_P35,male,P35,1073137,CTRL,saline,CTRL_saline
6,2,active,red,2.25,Beta,baseline,male_P35,male,P35,1073128,CTRL,saline,CTRL_saline
6,2,active,green,0.9375,Gamma,baseline,male_P35,male,P35,1073102,ELA,saline,ELA_saline
6,2,active,blue,0.0,Delta,baseline,male_P35,male,P35,1073092,ELA,saline,ELA_saline
6,3,active,yellow,3.0,Alpha,baseline,male_P35,male,P35,1073137,CTRL,saline,CTRL_saline
6,3,active,red,2.25,Beta,baseline,male_P35,male,P35,1073128,CTRL,saline,CTRL_saline
6,3,active,blue,0.0,Gamma,baseline,male_P35,male,P35,1073092,ELA,saline,ELA_saline
6,3,active,green,0.0,Delta,baseline,male_P35,male,P35,1073102,ELA,saline,ELA_saline
7,1,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
7,1,active,yellow,2.052197802197802,Beta,baseline,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
7,1,active,blue,0.993956043956044,Gamma,baseline,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
7,1,active,green,0.0,Delta,baseline,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
7,1,inactive,red,2.625,Alpha,baseline,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
7,1,inactive,green,1.5,Beta,baseline,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
7,1,inactive,yellow,1.125,Gamma,baseline,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
7,1,inactive,blue,0.75,Delta,baseline,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
7,2,active,red,3.0,Alpha,baseline,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
7,2,active,blue,1.4318181818181817,Beta,baseline,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
