exp,box,mouse,mouse_ID,background,treatment,condition
male_P42,2,blue,1111967,CTRL,MDMA,CTRL_MDMA
male_P42,2,red,1111863,CTRL,MDMA,CTRL_MDMA
male_P42,3,yellow,1111834,ELA,saline,ELA_saline
male_P42,3,red,1111918,ELA,saline,ELA_saline
male_P42,3,green,1111968,CTRL,saline,CTRL_saline
male_P42,3,blue,1111864,CTRL,saline,CTRL_saline
male_P42,4,red,1111835,ELA,saline,ELA_saline
male_P42,4,yellow,1111919,ELA,saline,ELA_saline
male_P42,4,green,1111969,CTRL,saline,CTRL_saline
male_P42,4,blue,1111865,CTRL,saline,CTRL_saline
male_P42,5,blue,1112041,ELA,saline,ELA_saline
male_P42,5,red,1111882,ELA,saline,ELA_saline
male_P42,5,green,1112051,CTRL,saline,CTRL_saline
male_P42,5,yellow,1111983,CTRL,saline,CTRL_saline
male_P42,6,red,1112042,ELA,saline,ELA_saline
male_P42,6,blue,1111883,ELA,saline,ELA_saline
male_P42,6,green,1112052,CTRL,saline,CTRL_saline
male_P42,6,yellow,1111984,CTRL,saline,CTRL_saline
male_P42,7,yellow,1112043,ELA,MDMA,ELA_MDMA
male_P42,7,green,1111884,ELA,MDMA,ELA_MDMA
male_P42,7,blue,1112053,CTRL,MDMA,CTRL_MDMA
male_P42,7,red,1111985,CTRL,MDMA,CTRL_MDMA
male_P42,8,green,1112044,ELA,MDMA,ELA_MDMA
male_P42,8,red,1111885,ELA,MDMA,ELA_MDMA
male_P42,8,blue,1112054,CTRL,MDMA,CTRL_MDMA
male_P42,8,yellow,1111986,CTRL,MDMA,CTRL_MDMA
