day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,normDS,rank,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,active,6,red,24,12-24,194.0,1398.2,7.207216494845361,24317.72,18882.28,172.0,141.38209302325583,0.0740482611210087,0.0102741829906134,214.0,1414.76,6.611028037383178,0.0749252738546404,0.011333377113357,162.0,821.32,5.069876543209877,0.0434968658445908,0.0085794723942235,573,37415.0,65.29668411867365,1.9814874051226865,0.0303459116166056,2.0,5.44,2.72,0.0002881008013862,0.0001059194122743,78.0,1020.68,13.085641025641024,0.0540549128600995,0.0041308570787002,235.0,3355.92,14.280510638297873,0.1777285370198938,0.0124455309422379,25.0,153.84,6.1536,0.0081473211921441,0.0013239926534295,75.0,512.16,6.828799999999999,0.0271238430952194,0.0039719779602886,329.0,1673.32,5.086079027355623,0.0886185354734703,0.017423743319133,16.0,37.6,2.35,0.001991284950758,0.0008473552981949,25.6,25.0,1.024,1.8,2.0,0.9,0.0013557684771118,0.0013239926534295,9.532747104692868e-05,0.0001059194122743,0.9343065693430656,0.0656934306569343,0.925925925925926,0.074074074074074,681.3637367650475,18648.0,0.0365381669221926,0.0103659353930986,2.0012345417509123,0.034783405660756,0.9875926000461808,608115.0,449047.3333333333,62302.0,0.7384250237756564,0.1024510166662555,109728.0,16750.0,56278.0,35149.0,13937.0,693.0,9074.0,6186.0,95791.0,16057.0,47204.0,28963.0,0.1270140711577719,0.872985928842228,0.0413731343283582,0.9586268656716418,0.1612352962081097,0.8387647037918903,0.175993627130217,0.824006372869783,3.0,Alpha,baseline,female_P35,female,P35,1112056,CTRL,saline,CTRL_saline
1,active,6,yellow,24,12-24,87.0,947.2,10.88735632183908,29213.48,13986.52,262.0,111.5018320610687,0.067722349805384,0.0062202749504522,74.0,491.44,6.641081081081081,0.0351366887546008,0.0052908085785456,42.0,284.28,6.768571428571428,0.020325284631202,0.0030028913553907,316,40397.16,127.83911392405064,2.888292441579464,0.0225931825786543,12.0,36.68,3.056666666666666,0.0026225251170412,0.000857968958683,41.0,214.4,5.229268292682927,0.0153290453951376,0.0029313939421671,318.0,2517.64,7.917106918238994,0.180004747428238,0.0227361774051014,20.0,292.24,14.612,0.0208944040404618,0.0014299482644717,30.0,266.08,8.869333333333334,0.0190240317105327,0.0021449223967076,159.0,864.96,5.44,0.061842402541876,0.0113680887025507,8.0,19.76,2.47,0.0014127888852981,0.0005719793057887,2.2,2.0,1.1,5.4,6.0,0.9,0.0001572943090918,0.0001429948264471,0.0003860860314073,0.0004289844793415,0.2894736842105263,0.7105263157894737,0.25,0.75,445.0624929031495,13675.0,0.0325457033201571,0.0077085531269859,2.0929281448245622,0.0289025672227314,0.9777271258325874,730599.0,527398.6666666666,46006.0,0.7218715966852769,0.0629702477008591,68660.0,14008.0,19509.0,23767.0,13822.0,1119.0,6278.0,5371.0,54838.0,12889.0,13231.0,18396.0,0.2013108068744538,0.7986891931255462,0.0798829240434037,0.9201170759565962,0.3218001947818955,0.6781998052181044,0.2259856102999957,0.7740143897000042,0.2999999999999998,Delta,baseline,female_P35,female,P35,1111888,ELA,saline,ELA_saline
1,active,7,blue,24,12-24,268.0,2414.24,9.008358208955222,20824.08,22375.92,212.0,98.2267924528302,0.1078945580785058,0.0119771611625354,124.0,689.8,5.562903225806451,0.0308277827235706,0.0055416715826656,148.0,731.84,4.944864864864865,0.0327065881536937,0.0066142531793106,564,36241.8,64.25851063829788,1.6196786545536457,0.0252056675211566,12.0,26.2,2.183333333333333,0.0011709015763374,0.0005362907983224,380.0,3057.88,8.047052631578948,0.1366594088645293,0.0169825419468786,160.0,1543.2,9.645,0.0689669966642712,0.007150543977633,38.0,296.16,7.793684210526316,0.0132356569025988,0.0016982541946878,53.0,496.8,9.373584905660378,0.0222024390505507,0.0023686176925909,373.0,1754.64,4.704128686327078,0.0784164405307133,0.0166697056478571,37.0,96.48,2.6075675675675676,0.0043117780185127,0.0016535632948276,39.0,34.0,1.1470588235294117,25.4,27.0,0.9407407407407408,0.001742945094548,0.001519490595247,0.0011351488564492,0.0012066542962255,0.6055900621118012,0.3944099378881987,0.5573770491803278,0.4426229508196721,744.4228683482293,22121.0,0.0336523153721906,0.0093589884623703,2.0188129576809817,0.0291914633156461,0.988607395807636,520814.0,336952.3333333333,60328.0,0.6469724956190374,0.1158340597602983,115567.0,19915.0,35813.0,60624.0,15761.0,1566.0,7286.0,17590.0,99806.0,18349.0,28527.0,43034.0,0.1363797623889172,0.8636202376110828,0.0786341953301531,0.9213658046698469,0.2034456761511183,0.7965543238488817,0.2901491158617049,0.7098508841382951,1.4431818181818183,Gamma,baseline,female_P35,female,P35,1111990,CTRL,MDMA,CTRL_MDMA
1,active,7,green,24,12-24,230.0,2045.04,8.891478260869565,25193.76,18006.24,894.0,28.180939597315433,0.113573961026844,0.0127733496832209,121.0,860.4,7.110743801652893,0.0477834350758403,0.0067198926594336,125.0,717.16,5.73728,0.0398284150383422,0.0069420378713157,470,37636.96,80.07863829787235,2.0902176134495596,0.0261020623961471,33.0,137.64,4.170909090909091,0.0076440167408631,0.0018326979980273,199.0,2016.96,10.135477386934674,0.1120145016394316,0.0110517242911346,68.0,568.04,8.353529411764706,0.0315468415393774,0.0037764686019957,27.0,158.76,5.88,0.0088169434596006,0.0014994801802041,59.0,520.08,8.814915254237288,0.028883320448911,0.003276641875261,244.0,1038.0,4.254098360655738,0.0576466824834057,0.0135508579248082,11.0,33.44,3.0399999999999996,0.0018571339713343,0.0006108993326757,39.6,37.0,1.0702702702702702,18.4,18.0,1.022222222222222,0.0021992375976328,0.0020548432099094,0.0010218679746576,0.0009996534534694,0.6827586206896552,0.3172413793103448,0.6727272727272727,0.3272727272727272,846.2614725869827,17302.0,0.0489111936531604,0.0127774276642423,2.046181007426681,0.0444878877647573,0.9608891139960368,630738.0,371564.99999999994,93151.0,0.5890956308324533,0.1476857268786723,64892.0,17057.0,39589.0,51356.0,12320.0,1050.0,9066.0,15334.0,52572.0,16007.0,30523.0,36022.0,0.1898539111138507,0.8101460888861493,0.0615583045084129,0.9384416954915872,0.2290030058854732,0.7709969941145267,0.2985824441155853,0.7014175558844147,2.340625,Alpha,baseline,female_P35,female,P35,1111889,ELA,MDMA,ELA_MDMA
1,active,7,red,24,12-24,446.0,3158.32,7.081434977578476,14908.44,28291.56,217.0,68.70248847926267,0.1116347066050793,0.0157644187877939,246.0,1233.84,5.015609756097561,0.0436115929980531,0.0086951726946128,368.0,1747.92,4.749782608695653,0.0617823831559659,0.0130074128114533,999,32727.04,32.7597997997998,1.1567774983069157,0.0353108842354398,46.0,108.64,2.3617391304347826,0.0038400144778159,0.0016259266014316,313.0,4212.24,13.457635782747603,0.1488868058177067,0.0110633701358284,175.0,1153.64,6.592228571428572,0.0407768253146874,0.0061855903315335,89.0,420.76,4.727640449438202,0.0148722799308344,0.0031458145114656,95.0,531.32,5.592842105263158,0.018780159171145,0.003357891894261,576.0,2475.56,4.297847222222222,0.0875017142921776,0.0203594287483617,29.0,68.68,2.3682758620689657,0.0024275791083984,0.0010250406835112,139.4,124.0,1.1241935483870968,49.0,48.0,1.0208333333333333,0.0049272645269472,0.0043829325777723,0.0017319652928293,0.0016966190623634,0.7399150743099788,0.2600849256900212,0.7209302325581395,0.2790697674418604,1284.173782681425,28027.0,0.0458191666136734,0.0159081882254324,1.9511153303763615,0.0408292916362691,0.99064880126794,372928.0,277136.99999999994,30189.0,0.7431380856358331,0.0809512828213488,134635.0,23986.0,75158.0,79404.0,19742.0,1952.0,12030.0,19116.0,114893.0,22034.0,63128.0,60288.0,0.14663349054852,0.85336650945148,0.0813808054698574,0.9186191945301426,0.1600628010324915,0.8399371989675084,0.2407435393682938,0.7592564606317063,1.8689903846153848,Beta,baseline,female_P35,female,P35,1112057,CTRL,MDMA,CTRL_MDMA
1,active,7,yellow,24,12-24,425.0,2805.56,6.601317647058823,18468.28,24731.72,276.0,66.91405797101449,0.1134397445871132,0.017184409333439,161.0,727.08,4.516024844720497,0.0293986831486043,0.0065098585945498,277.0,1341.36,4.842454873646209,0.0542364218905923,0.0112001914949708,822,35876.32,43.64515815085158,1.450619690017516,0.0332366693460867,56.0,134.52,2.402142857142857,0.0054391688083157,0.0022642986415825,245.0,1526.32,6.229877551020408,0.0617150768325049,0.0099063065569236,98.0,504.16,5.144489795918368,0.0203851571989331,0.0039625226227694,41.0,215.32,5.251707317073171,0.0087062282768849,0.0016577900768729,59.0,310.96,5.270508474576271,0.0125733268854733,0.0023856003545244,359.0,1792.92,4.994206128133705,0.0724947557226104,0.0145157716487167,19.0,45.16,2.3768421052631576,0.001825995118819,0.0007682441819655,20.0,22.0,0.9090909090909092,145.2,124.0,1.1709677419354838,0.0008086780862794,0.0008895458949074,0.005871002906389,0.0050138041349327,0.1210653753026634,0.8789346246973365,0.1506849315068493,0.8493150684931506,1344.6517669988975,24426.0,0.0550500191189264,0.0192819075246242,2.0801066543078477,0.0468162924572367,0.9876385467731318,461983.0,323192.99999999994,30847.0,0.6995776900881633,0.0667708552046287,51105.0,13257.0,52149.0,70564.0,9038.0,578.0,11647.0,17964.0,42067.0,12679.0,40502.0,52600.0,0.1768515800802269,0.8231484199197731,0.0435996077543939,0.956400392245606,0.2233408119043509,0.776659188095649,0.2545774049090187,0.7454225950909812,0.3472027972027973,Delta,baseline,female_P35,female,P35,1112047,ELA,MDMA,ELA_MDMA
1,active,8,blue,24,12-24,136.0,1154.68,8.490294117647059,21790.6,21409.4,199.0,109.5005025125628,0.053933319009407,0.0063523499023793,58.0,422.6,7.286206896551724,0.0197389931525404,0.0027090903995441,59.0,525.24,8.902372881355932,0.0245331489906302,0.0027557988547086,484,36817.2,76.06859504132231,1.7196745354844132,0.022606892299644,9.0,43.08,4.786666666666666,0.0020122002484889,0.0004203760964809,197.0,3021.76,15.338883248730966,0.1411417414780423,0.0092015656674171,195.0,1634.96,8.384410256410257,0.076366455855839,0.009108148757088,36.0,446.12,12.392222222222223,0.0208375760180107,0.0016815043859239,42.0,357.0,8.5,0.0166749184937457,0.0019617551169112,333.0,1655.28,4.970810810810811,0.0773155716647827,0.0155539155697964,31.0,82.56,2.6632258064516128,0.0038562500583855,0.0014479621101011,8.0,8.0,1.0,15.2,14.0,1.0857142857142856,0.0003736676413164,0.0003736676413164,0.0007099685185012,0.0006539183723037,0.3448275862068966,0.6551724137931034,0.3636363636363636,0.6363636363636364,538.851550238415,21213.0,0.0254019492876262,0.0059345435793035,2.023007570951451,0.0234737080271021,0.9908264594056816,544964.0,378438.0,52867.0,0.694427521817955,0.0970100777299051,116810.0,20156.0,23813.0,29003.0,25612.0,2353.0,7014.0,6761.0,91198.0,17803.0,16799.0,22242.0,0.2192620494820649,0.7807379505179352,0.1167394324270688,0.8832605675729311,0.2945449964305211,0.7054550035694789,0.2331138158121573,0.7668861841878426,1.8653846153846152,Beta,baseline,female_P35,female,P35,1111890,ELA,MDMA,ELA_MDMA
1,active,8,green,24,12-24,215.0,1792.16,8.335627906976745,22678.6,20521.4,500.0,45.3572,0.0873312736947771,0.0104768680499381,120.0,844.52,7.0376666666666665,0.0411531377001569,0.0058475542604305,197.0,1073.44,5.448934010152285,0.0523083220443049,0.0095997349108735,609,36973.68,60.712118226600985,1.801713333398306,0.0296763378716851,30.0,82.12,2.7373333333333334,0.0040016762988879,0.0014618885651076,177.0,2994.08,16.915706214689266,0.1459003771672498,0.008625142534135,185.0,1831.0,9.897297297297298,0.0892239320904031,0.0090149794848304,61.0,482.92,7.91672131147541,0.0235325075287261,0.0029725067490522,56.0,293.36,5.238571428571428,0.0142953209819992,0.0027288586548676,311.0,1384.12,4.450546623794212,0.0674476400245597,0.0151549114582825,19.0,48.8,2.568421052631579,0.0023780053992417,0.0009258627579015,5.8,7.0,0.8285714285714285,11.4,12.0,0.95,0.0002826317892541,0.0003411073318584,0.0005555176547409,0.000584755426043,0.3372093023255814,0.6627906976744187,0.3684210526315789,0.631578947368421,886.8983674466987,20148.0,0.0440191764664829,0.0114422403296094,1.9937826035176076,0.0396067982458618,0.9818043603262936,567465.0,408908.6666666666,26123.0,0.7205883475926561,0.0460345571973601,120989.0,19524.0,48266.0,45019.0,28566.0,1212.0,9673.0,8147.0,92423.0,18312.0,38593.0,36872.0,0.2361041086379753,0.7638958913620246,0.0620774431468961,0.937922556853104,0.2004102266605892,0.7995897733394107,0.1809680357182523,0.8190319642817477,1.1999999999999995,Gamma,baseline,female_P35,female,P35,1111991,CTRL,MDMA,CTRL_MDMA
1,active,8,red,24,12-24,248.0,1934.64,7.800967741935485,22275.0,20925.0,247.0,90.18218623481782,0.0924559139784946,0.0118518518518518,200.0,1010.0,5.05,0.0482676224611708,0.009557945041816,372.0,1769.96,4.757956989247312,0.0845859020310633,0.0177777777777777,764,35776.6,46.82801047120419,1.7097538829151733,0.0365113500597371,70.0,172.56,2.4651428571428573,0.0082465949820788,0.0033452807646356,193.0,1638.04,8.487253886010363,0.0782814814814814,0.0092234169653524,322.0,2128.36,6.609813664596274,0.1017137395459976,0.0153882915173237,89.0,457.56,5.141123595505618,0.0218666666666666,0.0042532855436081,48.0,156.12,3.2525,0.0074609318996415,0.0022939068100358,326.0,1646.6,5.050920245398773,0.0786905615292712,0.01557945041816,18.0,44.68,2.482222222222222,0.0021352449223416,0.0008602150537634,25.2,26.0,0.9692307692307692,6.6,8.0,0.825,0.0012043010752688,0.001242532855436,0.0003154121863799,0.0003823178016726,0.7924528301886793,0.2075471698113207,0.7647058823529411,0.2352941176470588,1029.2694721313126,20663.0,0.0498121992029866,0.0168309703928586,1.954914143152534,0.0452080432632131,0.987479091995221,557122.0,407355.3333333333,36569.0,0.7311779705941128,0.0656391239261777,94675.0,15479.0,70071.0,48614.0,25672.0,2165.0,13957.0,9243.0,69003.0,13314.0,56114.0,39371.0,0.2711592289411143,0.7288407710588857,0.139866916467472,0.8601330835325279,0.1991836851193789,0.8008163148806211,0.1901304151067593,0.8098695848932407,2.639160839160839,Alpha,baseline,female_P35,female,P35,1112048,ELA,MDMA,ELA_MDMA
1,active,8,yellow,24,12-24,205.0,1324.84,6.462634146341463,21560.68,21639.32,224.0,96.25303571428572,0.0612237353114608,0.0094734954702828,137.0,928.12,6.774598540145986,0.0428904420286774,0.0063310677045304,207.0,1239.76,5.989178743961353,0.0572920036304283,0.0095659198163343,554,38324.56,69.17790613718411,1.7710611978564943,0.0256015438562764,32.0,76.6,2.39375,0.0035398524537739,0.0014787895368246,171.0,2017.28,11.796959064327485,0.0932228924014248,0.0079022815874066,298.0,2737.72,9.18697986577181,0.1265159903361103,0.0137712275616793,71.0,402.36,5.667042253521127,0.0185939299386487,0.0032810642848296,92.0,510.76,5.5517391304347825,0.0236033294946421,0.0042515199183708,312.0,1240.16,3.9748717948717953,0.0573104884996386,0.0144181979840401,20.0,51.2,2.56,0.0023660632589194,0.0009242434605153,4.0,5.0,0.8,9.8,12.0,0.8166666666666668,0.000184848692103,0.0002310608651288,0.0004528792956525,0.0005545460763092,0.2898550724637681,0.7101449275362319,0.2941176470588235,0.7058823529411765,762.1334759222524,21434.0,0.0355572210470398,0.010472682772348,2.0460530980550735,0.0328502453679489,0.990511716634349,539241.0,385764.6666666666,43666.0,0.7153845250392062,0.0809767803264217,119344.0,22991.0,54541.0,33326.0,30942.0,1967.0,11364.0,5664.0,88402.0,21024.0,43177.0,27662.0,0.2592673280600617,0.7407326719399383,0.0855552172589274,0.9144447827410724,0.2083570158229588,0.7916429841770412,0.1699573906259377,0.8300426093740623,0.2954545454545456,Delta,baseline,female_P35,female,P35,1112058,CTRL,MDMA,CTRL_MDMA
