day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,normDS,rank
1,active,1,blue,24,12-24,62.0,402.72,6.4954838709677425,17388.08,25811.92,176,98.7959090909091,0.0156020939162991,0.0024019910181032,27.0,98.8,3.659259259259259,0.0038276889127193,0.0010460283465933,38.0,218.36,5.746315789473685,0.0084596573985972,0.0014721880433536,192,23374.56,121.7425,0.9055723092276748,0.0074384237979972,,,,,,150.0,898.72,5.991466666666667,0.0348180220611252,0.0058112685921853,100.0,955.92,9.5592,0.0370340524842785,0.0038741790614568,29.0,229.24,7.904827586206897,0.0088811680804837,0.0011235119278224,8.0,53.52,6.69,0.0020734606336917,0.0003099343249165,105.0,411.96,3.923428571428571,0.0159600680615777,0.0040678880145297,17.0,44.48,2.616470588235294,0.001723234846536,0.0006586104404476,26.4,24.0,1.1,0.0,0.0,0.0,0.0010227832722246,0.0009298029747496,0.0,0.0,1.0,0.0,1.0,0.0,302.57406638739087,7333.0,0.0412619755062581,0.0070950993018131,1.941414827772991,0.0358127262443786,0.2840935505766328,434878,359172.3333333333,591,0.8259151608803694,0.0013590018349974,46616.0,7106.0,7994.0,10130.0,4217.0,61.0,188.0,80.0,42399.0,7045.0,7806.0,10050.0,0.0904625021451862,0.9095374978548136,0.0085842949620039,0.991415705037996,0.0235176382286715,0.9764823617713284,0.0078973346495557,0.9921026653504442,3.0,Alpha
1,active,1,green,24,12-24,21.0,104.64,4.982857142857143,21177.2,22022.8,424,49.946226415094344,0.0047514394173311,0.0009535572225148,11.0,68.84,6.258181818181819,0.0031258513903772,0.0004994823546506,18.0,111.08,6.171111111111111,0.0050438636322356,0.0008173347621555,50,24546.92,490.93839999999994,1.1146139455473418,0.002270374339321,,,,,,106.0,1290.6,12.175471698113206,0.0586029024465553,0.0048131935993606,14.0,74.56,5.325714285714286,0.0033855822147955,0.0006357048150098,15.0,149.2,9.946666666666664,0.006774797028534,0.0006811123017963,4.0,24.84,6.21,0.0011279219717747,0.0001816299471456,41.0,140.28,3.4214634146341463,0.0063697622463991,0.0018617069582432,3.0,8.92,2.973333333333333,0.0004050347821348,0.0001362224603592,0.0,0.0,0.0,21.0,19.0,1.105263157894737,0.0,0.0,0.0009535572225148,0.000862742248942,0.0,1.0,0.0,1.0,127.12966044821958,3383.0,0.0375789714597161,0.0069372153454639,1.980917523151977,0.0308947379108525,0.1536135277984634,529854,415258.33333333326,2379,0.7837221825886627,0.0044899160900927,34249.0,4370.0,4527.0,2637.0,1560.0,147.0,1075.0,431.0,32689.0,4223.0,3452.0,2206.0,0.0455487751467196,0.9544512248532804,0.0336384439359267,0.9663615560640731,0.237464104263309,0.762535895736691,0.1634433067880167,0.8365566932119833,0.0,Delta
1,active,1,red,24,12-24,27.0,404.16,14.96888888888889,21123.28,22076.72,70,301.76114285714283,0.0183070673542084,0.0012230077656463,21.0,130.0,6.190476190476191,0.0058885559086675,0.0009512282621693,17.0,141.92,8.348235294117647,0.0064284911889084,0.000770041926518,58,23967.32,413.2296551724138,1.085637721545592,0.002627201866944,,,,,,15.0,118.24,7.882666666666666,0.0053558680818527,0.0006794487586924,36.0,1130.56,31.404444444444444,0.0512105059084864,0.0016306770208617,6.0,47.2,7.866666666666667,0.0021379987606854,0.0002717795034769,8.0,79.28,9.91,0.0035911131726089,0.0003623726713026,64.0,279.2,4.3625,0.0126468062284614,0.0028989813704209,15.0,41.2,2.746666666666667,0.0018662192572084,0.0006794487586924,7.0,7.0,1.0,4.4,4.0,1.1,0.0003170760873897,0.0003170760873897,0.0001993049692164,0.0001811863356513,0.6140350877192983,0.3859649122807018,0.6363636363636364,0.3636363636363636,102.94867833063526,3704.0,0.0277939196357006,0.0036492088143024,2.07242152079481,0.0247329870568894,0.1677785468131135,528152,406579.6666666666,13394,0.769815633883175,0.0253601236007815,31271.0,3176.0,6836.0,10131.0,5040.0,0.0,598.0,36.0,26231.0,3176.0,6238.0,10095.0,0.1611716926225576,0.8388283073774424,0.0,1.0,0.0874780573434757,0.9125219426565244,0.0035534498075214,0.9964465501924784,1.5,Beta
1,active,1,yellow,24,12-24,47.0,320.28,6.814468085106382,19386.0,23814.0,185,104.7891891891892,0.0134492315444696,0.0019736289577559,23.0,96.2,4.182608695652174,0.004039640547577,0.0009658184261358,47.0,235.08,5.001702127659574,0.0098715041572184,0.0019736289577559,114,23939.08,209.99192982456145,1.00525237255396,0.0047871000251952,,,,,,101.0,1270.8,12.58217821782178,0.0533635676492819,0.004241202653901,26.0,548.04,21.078461538461536,0.0230133534895439,0.0010917947425883,26.0,245.6,9.446153846153846,0.0103132611069119,0.0010917947425883,11.0,48.28,4.38909090909091,0.0020273788527756,0.0004619131603258,68.0,242.96,3.5729411764705885,0.0102024019484336,0.0028554631729234,6.0,13.36,2.2266666666666666,0.0005610145292684,0.000251952632905,0.0,0.0,0.0,8.0,8.0,1.0,0.0,0.0,0.0003359368438733,0.0003359368438733,0.0,1.0,0.0,1.0,175.26158760028375,5356.0,0.0327224771471777,0.0064265208293581,2.0771927951040743,0.0287735965090272,0.224909716973209,484835,387090.3333333333,3075,0.7983960178892475,0.0063423638969958,45598.0,7384.0,8352.0,8054.0,3298.0,208.0,485.0,435.0,42300.0,7176.0,7867.0,7619.0,0.0723277336725295,0.9276722663274704,0.028169014084507,0.971830985915493,0.0580699233716475,0.9419300766283524,0.0540104296001986,0.9459895703998014,0.75,Gamma
1,active,2,blue,24,12-24,67.0,1034.0,15.432835820895525,15615.48,27584.52,105,148.71885714285713,0.0374847921950427,0.0024288985271449,38.0,249.96,6.577894736842105,0.0090616041170917,0.0013775842392762,33.0,260.92,7.906666666666667,0.0094589284134724,0.0011963231551609,170,22810.24,134.1778823529412,0.8269217662660072,0.0061628768599199,5.0,8.36,1.672,0.0003030685326407,0.0001812610841152,163.0,1028.44,6.309447852760736,0.0372832298695065,0.0059091113421585,131.0,405.4,3.094656488549618,0.014696648700068,0.0047490404038206,19.0,202.8,10.673684210526316,0.0073519495717163,0.0006887921196381,18.0,185.88,10.326666666666666,0.0067385620630701,0.000652539902815,131.0,529.08,4.0387786259541985,0.0191803228767439,0.0047490404038206,35.0,87.76,2.5074285714285716,0.0031814945483916,0.001268827588807,6.0,4.0,1.5,29.4,22.0,1.3363636363636362,0.0002175133009383,0.0001450088672922,0.0010658151745979,0.0007975487701072,0.1694915254237288,0.8305084745762712,0.1538461538461538,0.8461538461538461,217.26200720266215,9178.0,0.0236720426239553,0.0038181154828291,2.133584116841389,0.0228445143201384,0.332722846002033,390492,212219.99999999997,44042,0.5434682400663777,0.1127859213505014,36140.0,9754.0,12843.0,25917.0,8442.0,1011.0,1805.0,4693.0,27698.0,8743.0,11038.0,21224.0,0.2335915882678472,0.7664084117321528,0.1036497847037112,0.8963502152962887,0.1405434867242856,0.8594565132757144,0.1810780568738665,0.8189219431261334,0.1833333333333335,Delta
1,active,2,green,24,12-24,75.0,539.0,7.1866666666666665,14915.52,28284.48,396,37.665454545454544,0.0190563871069929,0.0026516308590435,41.0,366.16,8.930731707317074,0.0129456154046318,0.0014495582029438,36.0,297.16,8.254444444444445,0.0105061150143117,0.0012727828123409,177,22612.96,127.75683615819209,0.7994829673375646,0.0062578488273427,1.0,1.04,1.04,3.676928124540384e-05,3.535507812058062e-05,71.0,2523.6,35.543661971830986,0.0892220751450972,0.0025102105465612,79.0,715.48,9.056708860759494,0.025295851293713,0.0027930511715258,30.0,367.88,12.262666666666666,0.0130064261389991,0.0010606523436174,17.0,98.32,5.783529411764706,0.0034761112808154,0.0006010363280498,122.0,520.32,4.264918032786886,0.0183959542477005,0.0043133195307108,22.0,53.12,2.4145454545454546,0.0018780617497652,0.0007778117186527,6.0,5.0,1.2,23.8,18.0,1.3222222222222222,0.0002121304687234,0.0001767753906029,0.0008414508592698,0.0006363914061704,0.2013422818791946,0.7986577181208053,0.217391304347826,0.782608695652174,278.92297463565865,9713.0,0.0287164598615936,0.0040577208861943,2.0457177473935557,0.0256910286468367,0.3434038737851995,373284,188077.99999999997,61930,0.5038469369166639,0.165905851844708,81127.0,11702.0,16660.0,13550.0,19077.0,781.0,2879.0,3453.0,62050.0,10921.0,13781.0,10097.0,0.2351498268147472,0.7648501731852527,0.0667407280806699,0.93325927191933,0.1728091236494597,0.8271908763505402,0.2548339483394834,0.7451660516605166,0.5006493506493507,Gamma
1,active,2,red,24,12-24,198.0,2384.36,12.042222222222223,9953.08,33246.92,97,102.60907216494846,0.0717167184208341,0.0059554388797518,108.0,407.48,3.7729629629629633,0.0122561729026327,0.0032484212071373,94.0,304.48,3.239148936170213,0.0091581415661962,0.0028273295691751,335,20044.04,59.8329552238806,0.6028841167843518,0.0100761213369539,37.0,77.44,2.092972972972973,0.002329238317414,0.0011128850431859,113.0,1373.88,12.158230088495577,0.0413235271116843,0.0033988110778381,226.0,3256.32,14.40849557522124,0.0979435087520889,0.0067976221556763,20.0,122.24,6.112,0.0036767315588932,0.0006015594828032,46.0,411.28,8.94086956521739,0.0123704692043653,0.0013835868104474,239.0,1237.84,5.179246861924685,0.0372317195096568,0.0071886358194984,25.0,61.84,2.4736,0.0018600219208275,0.000751949353504,33.4,25.0,1.336,7.4,8.0,0.925,0.0010046043362813,0.000751949353504,0.0002225770086371,0.0002406237931212,0.8186274509803921,0.1813725490196078,0.7575757575757576,0.2424242424242424,529.8694032291664,14848.0,0.035686247523516,0.0067764529997371,2.052435603019467,0.0321336619837037,0.4465977600331098,248924,152431.66666666666,20770,0.6123622738935043,0.0834391219810062,116094.0,13404.0,18001.0,59807.0,24371.0,1576.0,1392.0,9859.0,91723.0,11828.0,16609.0,49948.0,0.2099247161782693,0.7900752838217306,0.1175768427335123,0.8824231572664876,0.0773290372757069,0.922670962724293,0.1648469242730784,0.8351530757269215,2.5636363636363635,Beta
1,active,2,yellow,24,12-24,121.0,1065.92,8.809256198347107,13006.56,30193.44,239,54.42075313807531,0.0353030327117413,0.004007493018351,50.0,321.48,6.429600000000001,0.0106473459135494,0.0016559888505582,51.0,329.4,6.458823529411764,0.0109096545474778,0.0016891086275694,305,21771.92,71.38334426229508,0.7210811355049308,0.0101015319884054,1.0,1.32,1.32,4.371810565473825e-05,3.311977701116534e-05,86.0,1252.52,14.564186046511628,0.0414831831020248,0.0028483008229602,118.0,1073.8,9.1,0.0355640165545893,0.0039081336873175,47.0,386.64,8.226382978723404,0.0128054305835969,0.0015566295195247,19.0,122.52,6.448421052631579,0.0040578350794079,0.0006292757632121,138.0,772.36,5.596811594202899,0.0255803909723436,0.0045705292275408,20.0,54.76,2.738,0.0018136389891314,0.0006623955402233,20.6,20.0,1.03,5.4,6.0,0.9,0.00068226740643,0.0006623955402233,0.0001788467958602,0.0001987186620669,0.7923076923076924,0.2076923076923077,0.7692307692307693,0.2307692307692307,370.39708633011753,11678.0,0.0317175103896315,0.007312839553071,2.0344785614729606,0.0293904153353509,0.3867727559363888,325403,212278.3333333333,8816,0.652355182138251,0.0270925590729034,58362.0,12795.0,16373.0,26769.0,14515.0,651.0,2260.0,8664.0,43847.0,12144.0,14113.0,18105.0,0.2487063500222747,0.7512936499777252,0.0508792497069167,0.9491207502930832,0.1380321260611983,0.8619678739388017,0.3236579625686428,0.6763420374313571,2.7523809523809524,Alpha
1,active,3,blue,24,12-24,38.0,197.36,5.193684210526317,18870.08,24329.92,144,131.04222222222222,0.0081118228091173,0.0015618629243334,50.0,182.24,3.6448,0.0074903657718562,0.0020550827951756,24.0,97.2,4.05,0.0039950809538214,0.0009864397416843,122,23997.0,196.6967213114754,0.9863164367166024,0.0050144020202285,3.0,4.32,1.4400000000000002,0.0001775591535031,0.0001233049677105,122.0,1097.0,8.991803278688524,0.0450885165261538,0.0050144020202285,55.0,531.0,9.654545454545454,0.0218249792847654,0.0022605910746932,23.0,141.96,6.172173913043479,0.0058347910720627,0.0009453380857808,14.0,112.12,8.008571428571429,0.0046083176599018,0.0005754231826491,89.0,385.04,4.326292134831461,0.0158257815890886,0.0036580473754126,21.0,54.2,2.580952380952381,0.0022277097499704,0.0008631347739737,7.0,7.0,1.0,0.0,0.0,0.0,0.0002877115913245,0.0002877115913245,0.0,0.0,1.0,0.0,1.0,0.0,226.469538394262,5879.0,0.0385217789410209,0.0064304738524661,1.9881422004685148,0.034762493193924,0.2416366350567531,471896,353344.99999999994,16913,0.7487772729584483,0.0358405241832946,40877.0,6389.0,7060.0,4972.0,2739.0,289.0,51.0,0.0,38138.0,6100.0,7009.0,4972.0,0.0670058957359884,0.9329941042640116,0.0452339959305055,0.9547660040694944,0.0072237960339943,0.9927762039660056,0.0,1.0,3.0,Alpha
1,active,3,green,24,12-24,25.0,222.92,8.9168,21113.4,22086.6,328,64.37012195121952,0.0100929975641339,0.0011319080347359,15.0,60.64,4.042666666666666,0.0027455561290556,0.0006791448208415,30.0,166.76,5.558666666666666,0.0075502793549029,0.0013582896416831,54,24365.44,451.2118518518518,1.103177492235111,0.0024449213550297,2.0,4.92,2.46,0.000222759501236,9.05526427788795e-05,125.0,1360.2,10.8816,0.0615848523539159,0.0056595401736799,10.0,57.04,5.704,0.0025825613720536,0.0004527632138943,17.0,178.16,10.48,0.0080664294187425,0.0007696974636204,4.0,20.88,5.22,0.0009453695906115,0.0001811052855577,37.0,147.12,3.976216216216217,0.0066610524028143,0.0016752238914092,3.0,6.84,2.28,0.0003096900383037,0.0001358289641683,0.0,0.0,0.0,2.8,3.0,0.9333333333333332,0.0,0.0,0.0001267736998904,0.0001358289641683,0.0,1.0,0.0,1.0,108.3048418046846,3532.0,0.0306638849956638,0.0053318094813684,2.0243376550639667,0.0269956339831789,0.1599159671475012,528163,402144.6666666666,1629,0.7614025720595093,0.0030842751196126,35566.0,4997.0,5730.0,5598.0,3982.0,397.0,401.0,225.0,31584.0,4600.0,5329.0,5373.0,0.1119608614969352,0.8880391385030647,0.0794476686011606,0.9205523313988392,0.0699825479930192,0.9300174520069808,0.040192926045016,0.959807073954984,0.75,Gamma
