day,phase,box,mouse,time_bin,time_window,s_wall_count,s_wall_duration,s_wall_mean_duration,nest_duration,outside_nest_duration,nest_count,nest_mean_duration,s_wall_duration_fraction,s_wall_event_rate,ramp1_count,ramp1_duration,ramp1_mean_duration,ramp1_duration_fraction,ramp1_event_rate,ramp2_count,ramp2_duration,ramp2_mean_duration,ramp2_duration_fraction,ramp2_event_rate,non_wall_count,non_wall_duration,non_wall_mean_duration,non_wall_duration_fraction,non_wall_event_rate,woodstick_count,woodstick_duration,woodstick_mean_duration,woodstick_duration_fraction,woodstick_event_rate,feeder_prox_count,feeder_prox_duration,feeder_prox_mean_duration,feeder_prox_duration_fraction,feeder_prox_event_rate,feeder_dist_count,feeder_dist_duration,feeder_dist_mean_duration,feeder_dist_duration_fraction,feeder_dist_event_rate,water_prox_count,water_prox_duration,water_prox_mean_duration,water_prox_duration_fraction,water_prox_event_rate,water_dist_count,water_dist_duration,water_dist_mean_duration,water_dist_duration_fraction,water_dist_event_rate,motionless_count,motionless_duration,motionless_mean_duration,motionless_duration_fraction,motionless_event_rate,speeding_count,speeding_duration,speeding_mean_duration,speeding_duration_fraction,speeding_event_rate,chasing_duration,chasing_count,chasing_mean_duration,chased_duration,chased_count,chased_mean_duration,chasing_duration_fraction,chasing_event_rate,chased_duration_fraction,chased_event_rate,chasing_duration_ratio,chased_duration_ratio,chasing_event_ratio,chased_event_ratio,total_distance,valid_locomotion_duration,mean_speed,median_speed,mean_abs_angular_velocity,mean_abs_acceleration,valid_locomotion_duration_fraction,nest_frames,weighted_sum,alone_sum,weighted_co_occupancy,alone_fraction,feeding_frames,drinking_frames,ramps_frames,s_wall_frames,feeding_together_frames,drinking_together_frames,ramps_together_frames,s_wall_together_frames,feeding_alone_frames,drinking_alone_frames,ramps_alone_frames,s_wall_alone_frames,feeding_together_fraction,feeding_alone_fraction,drinking_together_fraction,drinking_alone_fraction,ramps_together_fraction,ramps_alone_fraction,s_wall_together_fraction,s_wall_alone_fraction,normDS,rank,time_point,exp,sex,age,mouse_ID,background,treatment,condition
1,active,6,yellow,24,12-24,98.0,1047.08,10.684489795918369,15101.52,28098.48,180.0,83.89733333333334,0.0372646491909882,0.0034877331442839,41.0,305.4,7.448780487804878,0.0108689153292277,0.0014591536624045,28.0,169.44,6.051428571428572,0.0060302194282395,0.0009964951840811,204.0,22180.68,108.72882352941176,0.7893907428444528,0.0072601791983053,,,,,,177.0,2263.72,12.789378531073446,0.0805637885038621,0.0062992731279414,24.0,172.72,7.196666666666666,0.0061469517212318,0.0008541387292123,13.0,67.56,5.196923076923077,0.0024044005227329,0.0004626584783233,34.0,344.72,10.138823529411766,0.0122682792805874,0.0012100298663842,144.0,619.64,4.303055555555556,0.0220524384237154,0.0051248323752743,16.0,44.08,2.755,0.0015687681326534,0.0005694258194749,17.0,16.0,1.0625,0.8,1.0,0.8,0.0006050149331921,0.0005694258194749,2.8471290973746625e-05,3.558911371718328e-05,0.9550561797752808,0.0449438202247191,0.9411764705882352,0.0588235294117647,264.3649893352481,9642.0,0.0274180656850495,0.0059606338487213,2.022185942088574,0.0252624149370781,0.3431502344610811,377718.0,265192.6666666666,11811.0,0.7020916839193966,0.0312693596810318,61112.0,10354.0,11940.0,26275.0,1743.0,616.0,2225.0,4252.0,59369.0,9738.0,9715.0,22023.0,0.0285214033250425,0.9714785966749576,0.0594939153950164,0.9405060846049836,0.1863484087102177,0.8136515912897823,0.1618268315889628,0.8381731684110371,3.0,Alpha,MDMA,male_P35,male,P35,1073137,CTRL,saline,CTRL_saline
1,active,7,blue,24,12-24,77.0,480.52,6.24051948051948,15492.4,27707.6,224.0,69.1625,0.0173425341783481,0.0027790209184483,61.0,559.28,9.168524590163932,0.0201850755749325,0.0022015620263032,89.0,646.12,7.259775280898876,0.0233192337120501,0.0032121150875572,237.0,22433.2,94.6548523206751,0.8096406762043628,0.0085536098398995,2.0,2.24,1.12,8.084424490031617e-05,7.218236151813943e-05,83.0,269.68,3.249156626506024,0.0097330696271059,0.0029955680030027,80.0,387.88,4.8485,0.0139990471928279,0.0028872944607255,17.0,153.96,9.056470588235294,0.0055565981896663,0.0006135500729041,5.0,23.76,4.752000000000001,0.0008575264548354,0.0001804559037953,130.0,494.36,3.802769230769231,0.0178420361200537,0.004691853498679,10.0,24.64,2.464,0.0008892866939034,0.0003609118075906,7.0,7.0,1.0,15.4,14.0,1.1,0.0002526382653134,0.0002526382653134,0.0005558041836896,0.0005052765306269,0.3125,0.6875000000000001,0.3333333333333333,0.6666666666666666,333.35988961082944,9191.0,0.0362702523785039,0.0056994938605009,2.16802451274337,0.0326878382462608,0.3317140423566098,387534.0,228073.99999999997,41306.0,0.5885264260684223,0.1065867769021556,16602.0,4465.0,30285.0,12090.0,4320.0,292.0,5559.0,2492.0,12282.0,4173.0,24726.0,9598.0,0.2602096132996024,0.7397903867003975,0.0653975363941769,0.9346024636058232,0.1835562159484893,0.8164437840515106,0.2061207609594706,0.7938792390405294,1.0357142857142856,Beta,MDMA,male_P35,male,P35,1073149,ELA,MDMA,ELA_MDMA
1,active,7,green,24,12-24,45.0,747.36,16.608,11684.12,31515.879999999997,253.0,46.18229249011858,0.0237137595396352,0.0014278516100454,60.0,756.0,12.6,0.0239879070487639,0.0019038021467273,61.0,657.36,10.77639344262295,0.0208580563195443,0.001935532182506,235.0,21537.8,91.65021276595743,0.6833951645963876,0.0074565584080152,,,,,,176.0,3066.2,17.42159090909091,0.0972906357049208,0.0055844862970667,46.0,216.56,4.707826086956522,0.0068714565482544,0.0014595816458242,37.0,388.84,10.509189189189188,0.012337907112224,0.0011740113238151,9.0,32.36,3.5955555555555554,0.0010267839578015,0.000285570322009,184.0,791.64,4.302391304347826,0.02511876552392,0.005838326583297,26.0,68.84,2.647692307692308,0.0021842956630117,0.0008249809302484,2.4,3.0,0.7999999999999999,13.6,14.0,0.9714285714285714,7.615208586909203e-05,9.519010733636504e-05,0.0004315284865915,0.000444220500903,0.15,0.85,0.1764705882352941,0.8235294117647058,280.4526826488873,13014.0,0.0215500755070606,0.0038307068020647,2.134787102423909,0.0199034681523326,0.4129346856251515,292356.0,182323.99999999997,26483.0,0.6236369357906113,0.0905847665175334,82291.0,10576.0,35455.0,18729.0,14519.0,377.0,5331.0,799.0,67772.0,10199.0,30124.0,17930.0,0.1764348470671154,0.8235651529328846,0.0356467473524962,0.9643532526475038,0.1503596107742208,0.8496403892257791,0.0426611137807677,0.9573388862192322,0.964285714285714,Gamma,MDMA,male_P35,male,P35,1073093,ELA,MDMA,ELA_MDMA
1,active,7,red,24,12-24,79.0,917.28,11.61113924050633,10454.24,32745.76,100.0,104.5424,0.0280121762328924,0.0024125260797123,54.0,408.12,7.557777777777778,0.0124632929576226,0.0016490684595501,113.0,1448.2,12.815929203539824,0.0442255730207513,0.0034508284431327,293.0,20338.36,69.41419795221843,0.6210990369440197,0.0089477233083,,,,,,157.0,1494.24,9.517452229299364,0.0456315565740419,0.0047945138546181,171.0,2061.68,12.056608187134502,0.0629602122534337,0.0052220501219089,33.0,342.84,10.389090909090909,0.0104697524198552,0.001007764058614,28.0,358.48,12.802857142857144,0.0109473715070286,0.0008550725345815,224.0,1336.48,5.966428571428572,0.0408138336077709,0.0068405802766526,44.0,115.48,2.6245454545454545,0.0035265634390528,0.0013436854114853,39.0,36.0,1.0833333333333333,1.6,2.0,0.8,0.0011909938874529,0.0010993789730334,4.88612876903758e-05,6.107660961296975e-05,0.960591133004926,0.0394088669950738,0.9473684210526316,0.0526315789473684,386.08203185299215,14341.0,0.0269215558087296,0.00427198767632,2.0953600286871468,0.0256907123533601,0.4379498292297995,261456.0,186137.66666666663,12778.0,0.7119273096301736,0.0488724680252126,89226.0,17594.0,46575.0,23011.0,15687.0,833.0,4539.0,4326.0,73539.0,16761.0,42036.0,18685.0,0.1758119830542667,0.8241880169457333,0.0473456860293281,0.9526543139706718,0.0974557165861513,0.9025442834138486,0.1879970448915736,0.8120029551084263,3.0,Alpha,MDMA,male_P35,male,P35,1073138,CTRL,MDMA,CTRL_MDMA
1,active,7,yellow,24,12-24,90.0,661.28,7.347555555555555,14341.24,28858.76,269.0,53.31315985130112,0.0229143594527276,0.0031186371139993,65.0,300.52,4.623384615384615,0.0104134758388787,0.0022523490267773,64.0,421.64,6.588125,0.014610468363852,0.0022176975032884,219.0,22539.4,102.91963470319637,0.7810245485253006,0.007588683644065,3.0,6.52,2.1733333333333333,0.0002259279331475,0.0001039545704666,134.0,1352.68,10.094626865671644,0.0468724227929405,0.0046433041475101,98.0,637.36,6.503673469387755,0.0220854950108736,0.0033958493019104,28.0,365.76,13.062857142857142,0.0126741412312933,0.0009702426576886,23.0,260.32,11.318260869565217,0.0090204845946256,0.0007969850402442,149.0,591.56,3.9702013422818783,0.0204984552350828,0.0051630769998433,16.0,39.84,2.49,0.001380516695797,0.0005544243758221,3.6,4.0,0.9,21.4,20.0,1.0699999999999998,0.0001247454845599,0.0001386060939555,0.000741542602662,0.0006930304697776,0.144,0.856,0.1666666666666666,0.8333333333333334,389.8650081251428,10327.0,0.0377520100828065,0.0076195774813703,2.102177792057433,0.0348619898402278,0.3578462830696814,358800.0,222923.66666666663,33662.0,0.6213034188034187,0.0938182831661092,49983.0,15703.0,18183.0,16622.0,9965.0,804.0,4020.0,4391.0,40018.0,14899.0,14163.0,12231.0,0.1993677850469159,0.800632214953084,0.0512004075654333,0.9487995924345668,0.2210856294340867,0.7789143705659132,0.2641679701600288,0.7358320298399711,0.4078947368421048,Delta,MDMA,male_P35,male,P35,1073118,CTRL,MDMA,CTRL_MDMA
1,active,8,blue,24,12-24,4.0,53.2,13.3,12481.56,30718.44,481.0,25.949189189189187,0.0017318587792869,0.000130214945811,2.0,8.08,4.04,0.0002630341905383,6.510747290552515e-05,3.0,22.4,7.466666666666666,0.0007292036965418,9.766120935828772e-05,15.0,24778.08,1651.872,0.8066190861254674,0.0004883060467914,,,,,,,,,,,187.0,2013.12,10.765347593582888,0.0655345779277854,0.0060875487166666,,,,,,98.0,1060.08,10.817142857142857,0.0345095649388445,0.0031902661723707,159.0,753.2,4.737106918238994,0.0245194742962207,0.0051760440959892,8.0,20.72,2.59,0.0006745134193012,0.0002604298916221,,,,,,,,,,,,,,,95.7015487718739,11956.0,0.0080044788199961,0.001817217548769,2.156221485491142,0.0072814080607465,0.3892124730292293,312520.0,84814.33333333331,77958.0,0.2713884978028072,0.2494496352233457,50515.0,26600.0,767.0,1334.0,536.0,6369.0,288.0,0.0,49979.0,20231.0,479.0,1334.0,0.010610709690191,0.9893892903098088,0.2394360902255639,0.7605639097744361,0.3754889178617992,0.6245110821382008,0.0,1.0,1.5,Beta,MDMA,male_P35,male,P35,1073150,ELA,MDMA,ELA_MDMA
1,active,8,green,24,12-24,84.0,759.8,9.045238095238094,1692.48,41507.52,146.0,11.592328767123288,0.0183051167595654,0.0020237296759719,41.0,292.48,7.133658536585366,0.0070464339955747,0.0009877728180339,34.0,241.36,7.098823529411765,0.0058148499356261,0.0008191286783696,120.0,23268.92,193.90766666666664,0.5605952849025911,0.0028910423942456,5.0,6.88,1.376,0.00016575309727,0.0001204600997602,8.0,14.88,1.86,0.0003584892568864,0.0001927361596163,151.0,1990.36,13.181192052980132,0.0479517928317567,0.0036378950127591,8.0,13.6,1.7,0.0003276514713478,0.0001927361596163,177.0,1505.04,8.503050847457628,0.0362594537086291,0.0042642875315123,343.0,1567.44,4.569795918367347,0.0377627957536369,0.0082635628435522,102.0,289.56,2.8388235294117647,0.0069760852973148,0.0024573860351088,0.0,0.0,0.0,11.6,11.0,1.0545454545454545,0.0,0.0,0.0002794674314437,0.0002650122194725,0.0,1.0,0.0,1.0,311.4082650450289,23077.0,0.0134943131709073,0.0035931104076564,2.254324428061739,0.0127238851134206,0.5559715444333942,42458.0,8162.999999999999,19961.0,0.192260586932969,0.4701351924254557,50290.0,38151.0,13421.0,19079.0,752.0,9817.0,392.0,206.0,49538.0,28334.0,13029.0,18873.0,0.0149532710280373,0.9850467289719628,0.2573195984377867,0.7426804015622133,0.0292079576782654,0.9707920423217344,0.010797211593899,0.989202788406101,0.75,Delta,MDMA,male_P35,male,P35,1073129,CTRL,MDMA,CTRL_MDMA
1,active,8,red,24,12-24,52.0,662.52,12.74076923076923,16985.44,26214.56,52.0,326.6430769230769,0.0252729780702022,0.0019836304710054,30.0,152.84,5.094666666666667,0.0058303477151628,0.0011444021948108,34.0,155.56,4.575294117647059,0.0059341068474923,0.0012969891541189,149.0,23254.52,156.07060402684564,0.8870841242424057,0.005683864234227,,,,,,6.0,21.08,3.513333333333333,0.0008041332755537,0.0002288804389621,104.0,1896.72,18.237692307692303,0.0723536843647194,0.0039672609420108,23.0,282.64,12.288695652173912,0.010781794544711,0.0008773750160216,16.0,38.24,2.39,0.0014587313309855,0.0006103478372324,114.0,509.92,4.472982456140351,0.0194517855725978,0.0043487283402811,42.0,113.76,2.7085714285714286,0.0043395731227226,0.0016021630727351,16.2,16.0,1.0125,0.0,0.0,0.0,0.0006179771851978,0.0006103478372324,0.0,0.0,1.0,0.0,1.0,0.0,226.0001121978079,7864.0,0.0287385697097924,0.0055248259093079,2.0447328587046627,0.0258188445599955,0.2999859619997436,424688.0,96271.66666666666,155777.0,0.2266879842770849,0.3668033944919564,48055.0,8061.0,7774.0,16615.0,382.0,2439.0,0.0,14.0,47673.0,5622.0,7774.0,16601.0,0.00794922484653,0.99205077515347,0.3025679196129512,0.6974320803870487,0.0,1.0,0.0008426120975022,0.9991573879024978,3.0,Alpha,MDMA,male_P35,male,P35,1073139,CTRL,MDMA,CTRL_MDMA
